DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Vict Descent Full,Vict Age Group,Time_Formatted,Hour,Time_Category,Date_Rptd,DATE_OCC,Year,Month,DayOfWeek,Reporting_Delay,Delay_Category,zip_code
202013579,08/18/2020 12:00:00 AM,08/13/2020 12:00:00 AM,100,20,Olympic,2014,2,860,BATTERY WITH SEXUAL CONTACT,0913 1810 0522 0545,49,M,O,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Other,Adults (25-49),1:00,1,Night (0-6),2020-08-18,2020-08-13,2020,Aug,Thu,5,1-7 days,90004.0
211907205,04/01/2021 12:00:00 AM,02/22/2020 12:00:00 AM,1,19,Mission,1915,1,122,"RAPE, ATTEMPTED",0512 0527 1259 0913 1817 0532 0501,17,F,H,122,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",122,,,,Hispanic,Adolescents (13-17),0:01,0,Night (0-6),2021-04-01,2020-02-22,2020,Feb,Sat,404,Over 1 year,91342.0
221908151,04/12/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1,19,Mission,1988,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0913 2024 1817 0360 1258 0507,8,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",812,821.0,,,Hispanic,Children (0-12),0:01,0,Night (0-6),2022-04-12,2020-10-01,2020,Oct,Thu,558,Over 1 year,91331.0
201904093,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2025,19,Mission,1901,1,121,"RAPE, FORCIBLE",1817 2002 1206 0401 0408 0533 0419 0444 0526 0913,36,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Adults (25-49),20:25,20,Evening (18-24),2020-01-02,2020-01-02,2020,Jan,Thu,0,0-1 days,91342.0
210708216,04/29/2021 12:00:00 AM,05/01/2020 12:00:00 AM,1330,7,Wilshire,785,1,121,"RAPE, FORCIBLE",0913 1817 0556 0527 2034 0537,19,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Young Adults (18-24),13:30,13,Afternoon (12-18),2021-04-29,2020-05-01,2020,May,Fri,363,1-12 months,90016.0
202106678,02/27/2020 12:00:00 AM,02/16/2020 12:00:00 AM,1900,21,Topanga,2173,2,860,BATTERY WITH SEXUAL CONTACT,1259 2024 0522 1820,14,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",860,,,,Hispanic,Adolescents (13-17),19:00,19,Evening (18-24),2020-02-27,2020-02-16,2020,Feb,Sun,11,8-30 days,91367.0
210807650,02/23/2021 12:00:00 AM,07/18/2020 12:00:00 AM,1,8,West LA,814,1,121,"RAPE, FORCIBLE",527,18,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,White,Young Adults (18-24),0:01,0,Night (0-6),2021-02-23,2020-07-18,2020,Jul,Sat,220,1-12 months,90049.0
201817496,09/19/2020 12:00:00 AM,09/13/2020 12:00:00 AM,2000,18,Southeast,1837,1,121,"RAPE, FORCIBLE",1822 0500 1206,20,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Hispanic,Young Adults (18-24),20:00,20,Evening (18-24),2020-09-19,2020-09-13,2020,Sep,Sun,6,1-7 days,90059.0
210508506,04/29/2021 12:00:00 AM,03/01/2020 12:00:00 AM,600,5,Harbor,511,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1251 0913 1814 2033 1259 2024 0527,15,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,810,,,,Hispanic,Adolescents (13-17),6:00,6,Morning (6-12),2021-04-29,2020-03-01,2020,Mar,Sun,424,Over 1 year,90710.0
202010192,05/25/2020 12:00:00 AM,05/24/2020 12:00:00 AM,2330,20,Olympic,2005,1,820,ORAL COPULATION,1402 1822 1310 0319 0421 0432 0337 0507 0531 0545,26,M,A,301,GAS STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",210,820.0,910.0,998.0,Asian,Adults (25-49),23:30,23,Evening (18-24),2020-05-25,2020-05-24,2020,May,Sun,1,0-1 days,90029.0
201815662,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,430,18,Southeast,1849,1,121,"RAPE, FORCIBLE",2034 1202 0319 0432 0527 1822 1218 2004,61,F,B,103,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",121,,,,Black,Older Adults (50+),4:30,4,Night (0-6),2020-08-16,2020-08-16,2020,Aug,Sun,0,0-1 days,90059.0
